id;name;acronym;country_id
11;RONDONIA;RO;1
12;ACRE;AC;1
13;AMAZONAS;AM;1
14;RORAIMA;RR;1
15;PARA;PA;1
16;AMAPA;AP;1
17;TOCANTINS;TO;1
21;MARANHAO;MA;1
22;PIAUI;PI;1
23;CEARA;CE;1
24;RIO GRANDE DO NORTE;RN;1
25;PARAIBA;PB;1
26;PERNAMBUCO;PE;1
27;ALAGOAS;AL;1
28;SERGIPE;SE;1
29;BAHIA;BA;1
31;MINAS GERAIS;MG;1
32;ESPIRITO SANTO;ES;1
33;RIO DE JANEIRO;RJ;1
35;SAO PAULO;SP;1
41;PARANA;PR;1
42;SANTA CATARINA;SC;1
43;RIO GRANDE DO SUL;RS;1
50;MATO GROSSO DO SUL;MS;1
51;MATO GROSSO;MT;1
52;GOIAS;GO;1
53;DISTRITO FEDERAL;DF;1
54;ESTRANGEIRA;ET;1
